spatial_id;votes;invalid;valid;oevp;spoe;fpoe;gruene;bzoe;neos;rekos;anders;eustop
G3A000;132430;5478;126952;44858;28399;24722;12816;386;8353;1214;2064;4140
G3A099;12660;271;12389;4260;2698;1829;1579;21;1139;125;233;505
G3B000;105812;5194;100618;43284;19377;16915;8884;343;6512;1169;1393;2741
G3B099;10601;297;10304;4149;1850;1258;1344;36;1009;107;197;354
G3C000;109647;4990;104657;40335;22078;18274;10642;407;6803;1450;1533;3135
G3C099;10413;293;10120;3522;2192;1186;1569;28;964;92;210;357
G3D000;106814;4546;102268;31553;25172;19192;11850;358;7518;1215;1896;3514
G3D099;9636;208;9428;2667;2429;1311;1374;39;958;104;195;351
G3E000;81418;3323;78095;21862;20947;17157;7477;281;5087;1087;1226;2971
G3E099;7173;155;7018;1932;1896;1076;925;25;708;74;105;277
G3F000;94684;2634;92050;23242;20835;16287;15477;291;10206;959;1982;2771
G3F099;11062;160;10902;2977;2298;1378;1939;31;1612;104;217;346
G3G000;71911;2707;69204;16944;18111;15529;8111;269;5606;719;1305;2610
G3G099;6429;150;6279;1642;1469;1028;928;23;778;53;123;235
G30099;67974;1534;66440;21149;14832;9066;9658;203;7168;659;1280;2425
G30100;9412;320;9092;2495;2218;1703;1218;28;832;118;236;244
G30101;8438;300;8138;2215;2029;1577;1052;24;701;106;211;223
G30199;974;20;954;280;189;126;166;4;131;12;25;21
G30200;19349;681;18668;4086;6288;3319;2399;63;1298;212;410;593
G30201;17191;632;16559;3613;5535;3060;2104;53;1125;186;360;523
G30299;2158;49;2109;473;753;259;295;10;173;26;50;70
G30300;4972;179;4793;1762;912;710;603;25;484;88;73;136
G30301;4352;168;4184;1568;804;658;497;20;384;82;54;117
G30399;620;11;609;194;108;52;106;5;100;6;19;19
G30400;13313;402;12911;2534;3780;3023;1625;41;997;176;267;468
G30401;11874;369;11505;2217;3397;2794;1420;38;833;166;235;405
G30499;1439;33;1406;317;383;229;205;3;164;10;32;63
G30500;51557;2355;49202;18330;10675;8515;5308;172;3432;590;806;1374
G30501;1019;57;962;473;143;145;82;1;63;9;16;30
G30502;8620;369;8251;1994;2356;1888;937;29;549;120;133;245
G30503;1654;118;1536;766;192;294;113;6;95;15;22;33
G30504;1424;86;1338;612;173;240;127;7;100;12;19;48
G30506;1512;65;1447;455;309;250;202;12;92;53;25;49
G30507;1008;51;957;503;144;120;71;2;71;12;15;19
G30508;1035;32;1003;165;393;212;115;3;53;9;25;28
G30509;849;31;818;286;237;113;76;2;48;12;19;25
G30510;554;33;521;304;44;92;33;2;22;2;8;14
G30511;1368;90;1278;714;110;199;136;6;65;5;16;27
G30512;835;63;772;416;81;154;42;0;52;5;7;15
G30514;2189;80;2109;844;417;269;284;8;157;31;36;63
G30515;1650;80;1570;556;356;283;180;3;110;12;28;42
G30516;796;47;749;306;186;105;57;6;43;24;4;18
G30517;1138;47;1091;273;386;198;101;2;55;2;19;55
G30520;1150;68;1082;486;111;232;108;2;86;12;16;29
G30521;1123;57;1066;550;159;186;71;4;50;11;11;24
G30522;702;32;670;274;93;127;93;1;50;10;8;14
G30524;393;30;363;169;77;57;23;2;13;5;10;7
G30526;253;5;248;103;65;44;15;0;12;0;2;7
G30527;1162;61;1101;465;174;218;85;2;89;19;23;26
G30529;1045;52;993;262;330;163;110;4;49;17;23;35
G30530;2102;92;2010;964;278;287;230;9;141;24;35;42
G30531;3345;124;3221;656;1192;531;398;20;238;22;70;94
G30532;1462;60;1402;625;195;187;203;5;103;11;29;44
G30533;1656;59;1597;400;580;261;152;7;116;14;15;52
G30534;790;47;743;368;141;97;50;2;47;6;14;18
G30536;649;32;617;306;80;127;45;0;42;7;2;8
G30538;863;37;826;376;162;143;72;3;46;3;9;12
G30539;1003;41;962;498;101;164;89;2;68;13;11;16
G30541;747;39;708;267;135;139;62;1;63;9;16;16
G30542;793;30;763;433;75;103;53;4;38;26;4;27
G30543;1529;77;1452;704;182;216;145;5;114;21;24;41
G30544;858;49;809;392;96;163;58;4;54;5;15;22
G30599;4281;114;4167;1365;922;508;690;6;438;32;77;129
G30600;53480;1927;51553;11586;13435;11559;6577;198;4595;603;998;2002
G30601;851;23;828;261;134;191;95;4;65;24;23;31
G30602;907;40;867;350;155;177;64;7;54;16;13;31
G30603;4038;159;3879;857;997;792;627;11;353;38;91;113
G30604;8789;241;8548;2481;1619;1437;1544;31;874;103;184;275
G30605;2658;107;2551;461;839;632;264;11;165;21;45;113
G30607;3154;93;3061;520;826;809;391;12;250;45;49;159
G30608;1469;69;1400;257;438;321;159;5;125;19;25;51
G30609;325;21;304;146;39;58;20;1;23;2;4;11
G30612;657;15;642;89;223;210;43;3;37;2;7;28
G30613;544;20;524;181;77;102;71;1;54;13;7;18
G30614;801;39;762;337;133;128;53;3;61;12;6;29
G30615;714;31;683;80;234;217;66;2;41;5;13;25
G30616;473;19;454;121;100;98;41;1;40;8;5;40
G30618;2319;98;2221;385;626;608;275;6;171;30;47;73
G30620;1640;87;1553;296;420;429;185;5;113;16;29;60
G30621;679;21;658;77;223;202;51;2;43;7;9;44
G30623;1351;50;1301;274;345;288;134;6;170;16;28;40
G30625;1360;48;1312;361;223;229;266;10;136;14;37;36
G30626;2187;65;2122;408;662;568;189;11;132;24;32;96
G30627;972;32;940;224;274;204;103;1;65;14;12;43
G30629;685;22;663;147;213;171;34;1;39;6;6;46
G30631;699;26;673;121;201;184;85;2;35;9;9;27
G30633;568;20;548;217;101;137;25;3;32;7;6;20
G30635;424;23;401;117;67;87;51;2;49;9;7;12
G30636;495;28;467;125;120;102;49;3;42;7;7;12
G30637;768;32;736;164;274;126;65;5;42;7;16;37
G30639;6376;296;6080;910;1947;1575;642;26;524;53;142;261
G30641;1308;58;1250;176;473;311;112;2;99;14;19;44
G30645;668;29;639;165;180;162;40;1;37;10;12;32
G30646;584;14;570;80;140;199;68;2;45;7;13;16
G30699;5017;101;4916;1198;1132;805;765;18;679;45;95;179
G30700;18431;780;17651;5358;4676;3970;1534;71;1011;116;307;608
G30701;375;15;360;163;33;107;19;3;16;4;6;9
G30702;520;21;499;130;117;172;35;7;14;3;10;11
G30703;356;9;347;112;123;66;19;3;13;0;3;8
G30704;2728;102;2626;560;798;593;337;13;170;15;59;81
G30706;1410;49;1361;321;404;381;97;9;79;7;23;40
G30708;617;20;597;261;72;129;38;3;63;7;8;16
G30709;831;49;782;204;241;156;61;2;59;8;18;33
G30710;1652;63;1589;449;368;432;128;8;94;13;31;66
G30711;752;35;717;176;206;160;75;3;52;3;14;28
