spatial_id;votes;invalid;valid;oevp;spoe;fpoe;gruene;kpoe;gvp;rwa;lif
1616;238;4;234;66;83;9;15;56;1;2;2
1617;265;1;264;102;83;6;22;44;2;5;0
1618;231;3;228;80;65;23;6;53;1;0;0
1619;218;3;215;74;75;18;14;32;0;2;0
1620;263;27;236;78;86;23;12;37;0;0;0
1621;238;3;235;92;60;23;13;45;0;0;2
1622;262;0;262;80;79;21;13;63;1;3;2
1623;227;2;225;79;79;14;13;30;1;9;0
1701;326;17;309;112;94;36;5;60;1;0;1
1702;378;2;376;131;136;32;13;59;4;1;0
1703;270;3;267;91;102;24;11;39;0;0;0
1704;261;19;242;86;85;16;13;38;2;2;0
1705;280;0;280;90;101;15;16;56;1;0;1
1706;234;2;232;108;68;18;8;30;0;0;0
1707;250;2;248;72;111;13;22;29;0;1;0
1708;273;1;272;83;104;26;13;43;0;3;0
1709;267;1;266;114;59;21;16;55;0;0;1
1710;294;1;293;110;75;25;11;67;1;3;1
2799;2162;101;2061;889;724;149;58;223;3;9;6
